model,experiment,scaler,early_stopping,k_value,train_top_k_accuracy,test_top_k_accuracy,model_path,hyperparameters,timestamp
XGBoost,TF_vs_I_no_scaling,NONE,False,5,1.0,0.9444444444444444,experiment_results_20250526_181934/XGBoost_TF_vs_I_no_scaling_NONE_20250526_182303.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
CatBoost,TF_vs_I_no_scaling,NONE,False,1,1.0,0.9444444444444444,experiment_results_20250526_181934/CatBoost_TF_vs_I_no_scaling_NONE_20250526_182339.pkl,"{'border_count': 32, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,TF_vs_I_no_scaling,NONE,False,2,1.0,0.9722222222222222,experiment_results_20250526_181934/CatBoost_TF_vs_I_no_scaling_NONE_20250526_182339.pkl,"{'border_count': 32, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,TF_vs_I_no_scaling,NONE,False,3,1.0,0.9861111111111112,experiment_results_20250526_181934/CatBoost_TF_vs_I_no_scaling_NONE_20250526_182339.pkl,"{'border_count': 32, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,TF_vs_I_no_scaling,NONE,False,4,1.0,1.0,experiment_results_20250526_181934/CatBoost_TF_vs_I_no_scaling_NONE_20250526_182339.pkl,"{'border_count': 32, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,TF_vs_I_no_scaling,NONE,False,5,1.0,1.0,experiment_results_20250526_181934/CatBoost_TF_vs_I_no_scaling_NONE_20250526_182339.pkl,"{'border_count': 32, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
SVM,TF_vs_I_SVM,NONE,False,1,0.0,0.0,experiment_results_20250526_181934/SVM_TF_vs_I_SVM_NONE_20250526_182340.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,TF_vs_I_SVM,NONE,False,2,0.0,0.013888888888888888,experiment_results_20250526_181934/SVM_TF_vs_I_SVM_NONE_20250526_182340.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,TF_vs_I_SVM,NONE,False,3,0.0,0.027777777777777776,experiment_results_20250526_181934/SVM_TF_vs_I_SVM_NONE_20250526_182340.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,TF_vs_I_SVM,NONE,False,4,0.006944444444444444,0.05555555555555555,experiment_results_20250526_181934/SVM_TF_vs_I_SVM_NONE_20250526_182340.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,TF_vs_I_SVM,NONE,False,5,0.013888888888888888,0.05555555555555555,experiment_results_20250526_181934/SVM_TF_vs_I_SVM_NONE_20250526_182340.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
RandomForest,TI_vs_F_no_scaling,NONE,False,1,1.0,0.9166666666666666,experiment_results_20250526_181934/RandomForest_TI_vs_F_no_scaling_NONE_20250526_182342.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",20250526_181934
RandomForest,TI_vs_F_no_scaling,NONE,False,2,1.0,0.9583333333333334,experiment_results_20250526_181934/RandomForest_TI_vs_F_no_scaling_NONE_20250526_182342.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",20250526_181934
RandomForest,TI_vs_F_no_scaling,NONE,False,3,1.0,0.9583333333333334,experiment_results_20250526_181934/RandomForest_TI_vs_F_no_scaling_NONE_20250526_182342.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",20250526_181934
RandomForest,TI_vs_F_no_scaling,NONE,False,4,1.0,0.9583333333333334,experiment_results_20250526_181934/RandomForest_TI_vs_F_no_scaling_NONE_20250526_182342.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",20250526_181934
RandomForest,TI_vs_F_no_scaling,NONE,False,5,1.0,0.9583333333333334,experiment_results_20250526_181934/RandomForest_TI_vs_F_no_scaling_NONE_20250526_182342.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",20250526_181934
XGBoost,TI_vs_F_no_scaling,NONE,False,1,1.0,0.7083333333333334,experiment_results_20250526_181934/XGBoost_TI_vs_F_no_scaling_NONE_20250526_182353.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,TI_vs_F_no_scaling,NONE,False,2,1.0,0.8194444444444444,experiment_results_20250526_181934/XGBoost_TI_vs_F_no_scaling_NONE_20250526_182353.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,TI_vs_F_no_scaling,NONE,False,3,1.0,0.875,experiment_results_20250526_181934/XGBoost_TI_vs_F_no_scaling_NONE_20250526_182353.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,TI_vs_F_no_scaling,NONE,False,4,1.0,0.8888888888888888,experiment_results_20250526_181934/XGBoost_TI_vs_F_no_scaling_NONE_20250526_182353.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,TI_vs_F_no_scaling,NONE,False,5,1.0,0.9166666666666666,experiment_results_20250526_181934/XGBoost_TI_vs_F_no_scaling_NONE_20250526_182353.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
